"actual","predict"
5,5.44593886474707
5.38888888888889,5.26725427507163
5.47058823529412,5.43648987992914
5.71428571428571,5.32631201118454
6.31578947368421,5.61866560254518
6.21428571428571,5.70986687245994
6.62962962962963,5.80662450817205
6.1,5.65139940644302
6.25,5.61238180632446
6.81818181818182,5.70920821431363
6.40909090909091,5.47947749854142
6.42105263157895,5.57543807300751
6.5,5.67733554072891
5.85,5.77192213976334
5.69565217391304,5.57713600273427
6.8,5.72181857044913
5.70833333333333,5.71058029574301
6.25,5.66487507654557
5.64705882352941,5.55980739741115
5.72727272727273,5.45972247106451
6,5.60945191586534
5.8125,5.34608775734468
5.18181818181818,4.88369867150781
5.5,5.30895625587855
5.36842105263158,5.30046239845284
5.2,5.41681413422053
4.84210526315789,5.27790191969615
4.94444444444444,5.06127164030222
4.85,5.10516369430949
4.82352941176471,5.06630798673613
4.875,5.35559104769565
4.65,4.9107460411103
5.26315789473684,4.83064893653754
5.57142857142857,5.29250775743661
5.71428571428571,4.61853963968001
4.95238095238095,4.55645435195277
5.22727272727273,4.7281025066765
5.23809523809524,5.16508908380915
4.70588235294118,4.61090036021904
5.57142857142857,5.41143836339158
5.41176470588235,5.4144631270174
5.65,5.16496077869579
5.09090909090909,5.41773654371259
5.4,5.14308775659726
5.625,5.41109457399479
6.45,5.150218938327
6.31578947368421,5.35120735786734
5.72727272727273,5.16033749928956
5.57142857142857,5.43576001561682
5.57142857142857,5.49555570411252
5.52631578947368,5.48234187136638
5.26315789473684,5.27184688429668
5.78947368421053,5.25417622000254
6.3125,5.29641231142551
5.33333333333333,5.12526421786665
5.57142857142857,5.13385755662973
5.88888888888889,5.1659733942316
6.10526315789474,5.07262032508774
6.16666666666667,4.90032272793795
6,5.32165677802824
5.86666666666667,5.42147163564987
5.36842105263158,4.91754933263651
5.5625,5.13817521401354
5.22222222222222,5.31257581442445
5.42857142857143,5.04834600990566
6.19047619047619,5.1410488868112
5.33333333333333,5.18644227795189
5.8125,4.97049339406823
5.55,4.57863684505405
5.30434782608696,4.63612924277497
5.4375,4.34860823555762
5.125,5.06455405677938
6.15789473684211,4.79993155715409
5.73684210526316,5.17578536026258
5.47619047619048,5.32270145948784
5.45,5.04977600443536
5.70588235294118,5.11797061499075
5.25,5.49145649730232
5.47368421052632,5.30248170290558
4.77777777777778,5.18182013846221
5.5,5.47663525669775
5.38888888888889,5.58509027784472
5.88888888888889,5.28974950908262
6.35294117647059,5.29024494054313
6.11111111111111,5.49171343926152
6.26315789473684,5.30984642116831
6.5,5.23068186005782
6.26315789473684,5.32117225008411
6.38461538461539,5.40776621636543
6.33333333333333,5.46467727546602
6.40909090909091,5.50406999450755
6.27272727272727,5.34424184512344
6.63157894736842,5.43670284166829
5.91304347826087,5.62181065468518
6,5.54630491318371
6.6,5.68683059881845
6.21052631578947,5.66630948347095
6.10526315789474,5.48657708637349
5.96,5.53833943162634
5.85,5.57533514520416
6.57142857142857,5.45463876968612
6.66666666666667,5.5835703294147
6.78947368421053,5.5597815389789
5.68421052631579,5.38353900370071
6.125,5.48678443517003
