"ea_id","lat_modified","lon_modified","FS_year","FS_month"
10204453,-10.357500076294,34.1277008056641,2011,3
10204586,-10.4162998199463,34.2318000793457,2010,6
10204586,-10.4163,34.2318,2013,6
10204586,-10.358864,34.188385,2013,6
10204586,-11.01108,33.853183,2013,7
10204586,-11.910786,33.593205,2013,7
10204586,-14.677371,34.525871,2013,7
10204586,-9.95121,33.927254,2013,6
10204723,-10.556300163269,34.1873016357422,2010,7
10205202,-10.2562999725342,34.1190986633301,2010,3
10205507,-10.3122997283936,34.0707015991211,2010,10
10220027,-9.93589973449707,33.9151992797852,2011,2
10220103,-9.9753999710083,33.9259986877441,2010,9
10220103,-9.9754,33.926,2013,6
10220103,-10.380389,34.09918,2013,6
10220103,-9.9754,33.926,2013,9
10220103,-9.82693,33.872847,2013,6
10220521,-9.94851970672607,33.8963012695312,2010,8
10220705,-9.9312801361084,33.9323997497559,2010,4
10220705,-9.9312801361084,33.9323997497559,2010,5
10220705,-9.93128,33.9324,2013,5
10220705,-12.649869,33.371411,2013,7
10301026,-11.6552000045776,33.761100769043,2011,3
10301306,-11.4949998855591,33.9723014831543,2011,1
10301347,-11.7131004333496,33.937801361084,2010,10
10301663,-11.6477003097534,34.125,2010,5
10301663,-11.6477,34.125,2013,6
10301663,-16.091168,35.43689,2013,8
10301663,-11.603104,34.098845,2013,6
10301663,-11.760403,34.114699,2013,6
10301663,-11.697975,34.088209,2013,6
10301663,-12.217905,34.002893,2013,7
10301741,-11.6375999450684,34.0964012145996,2010,11
10302010,-11.96399974823,34.0768013000488,2010,6
10302010,-11.964,34.0768,2013,7
10302010,-12.029085,34.00436,2013,7
10303454,-11.8910999298096,34.111499786377,2010,12
10304012,-11.836199760437,34.1621017456055,2010,3
10304012,-11.8362,34.1621,2013,4
10304012,-12.811286,33.411906,2013,10
10304012,-12.153704,34.026215,2013,4
10304012,-13.020244,33.471285,2013,5
10304012,-11.24644,33.84823,2013,5
10304012,-11.04156,33.934913,2013,5
10304012,-12.570924,34.093479,2013,7
10304012,-14.015745,33.778069,2013,6
10304012,-16.038367,35.025675,2013,9
10304012,-11.770927,34.238017,2013,4
10304360,-11.8374004364014,34.1483001708984,2011,1
10304625,-11.7659997940063,34.1557998657227,2010,10
10305446,-12.1525001525879,34.0251007080078,2010,8
10305446,-12.1525,34.0251,2013,5
10305446,-14.084124,34.821974,2013,7
10306417,-11.6674995422363,34.2550010681152,2011,1
10306431,-11.6583003997803,34.3036003112793,2010,11
10307413,-11.7643003463745,34.1954002380371,2010,5
10307413,-11.7643,34.1954,2013,7
10307413,-11.678393,34.243587,2013,7
10307413,-13.870355,33.748947,2013,9
10307413,-11.729789,34.301031,2013,7
10308129,-11.657600402832,34.2490005493164,2010,12
10308636,-11.5363998413086,34.2779998779297,2010,9
10308636,-11.5364,34.278,2013,6
10308636,-11.52147,34.200863,2013,6
10309273,-11.2735996246338,34.1397018432617,2011,3
10309281,-11.305700302124,34.192699432373,2010,11
10310469,-11.3823003768921,34.0550994873047,2010,6
10312048,-11.5334997177124,34.128101348877,2010,7
10312078,-11.6051998138428,34.2014999389648,2011,1
10312187,-11.472900390625,34.1657981872559,2010,11
10312600,-11.6218996047974,34.1769981384277,2010,3
10320227,-11.6153001785278,34.288200378418,2010,11
10401140,-10.9995002746582,33.7092018127441,2010,8
10401140,-10.9995,33.7092,2013,5
10401140,-14.131458,34.152879,2013,6
10401140,-10.991591,33.921646,2013,6
10401140,-15.331578,34.935594,2013,11
10401140,-15.810942,34.992806,2013,9
10401140,-13.672113,32.818255,2013,9
10401140,-10.240934,33.569214,2013,7
10401140,-10.912307,33.67697,2013,5
10401140,-11.117955,33.718737,2013,7
10401140,-14.212005,33.807109,2013,9
10401140,-11.001253,33.888657,2013,5
10401140,-11.4378,34.00773,2013,9
10401212,-10.862099647522,33.7639007568359,2010,9
10401424,-11.0164003372192,33.7354011535645,2010,10
10401502,-10.9368000030518,33.9123992919922,2010,4
10401502,-10.9368,33.9124,2013,5
10401502,-11.439218,34.019523,2013,6
10401502,-14.702081,35.661752,2013,6
10401502,-14.495291,35.269663,2013,9
10401522,-11.0516996383667,33.6870994567871,2010,9
10401522,-11.0517,33.6871,2013,7
10401522,-9.705853,33.289144,2013,8
10401522,-11.197652,33.873758,2013,7
10401522,-11.110604,33.677894,2013,7
10401522,-16.123843,35.341688,2013,8
10401522,-10.481416,34.18526,2013,11
10401522,-15.650003,35.546817,2013,9
10401522,-15.544869,35.381006,2013,10
10401541,-10.9731998443603,33.6501007080078,2011,3
10401604,-10.9492998123169,33.55419921875,2010,6
10401635,-10.9764995574951,33.7962989807129,2011,1
10401742,-10.9075002670288,33.6501007080078,2010,11
10402537,-10.7908000946045,34.1952018737793,2010,11
10403332,-10.9069995880127,33.9705009460449,2010,5
10403488,-10.8442001342773,34.0348014831543,2011,2
10404186,-10.6386995315552,34.1823997497559,2010,9
10404186,-10.6387,34.1824,2013,6
10404186,-10.16112,33.998054,2013,6
10404186,-10.734451,34.168061,2013,10
10404186,-10.786366,34.064585,2013,7
10404186,-10.550007,34.18714,2013,6
10404707,-10.7149000167847,34.1180992126465,2010,12
10405213,-10.6794004440308,34.0774993896484,2010,6
10405213,-10.6794004440308,34.0774993896484,2010,7
10405213,-9.932468,33.927202,2013,7
10405213,-10.6794,34.0775,2013,7
10405213,-11.231233,33.985359,2013,7
10405213,-10.95703,33.96655,2013,7
10405213,-10.744606,34.021889,2013,7
10405213,-10.621267,34.063226,2013,7
10405213,-11.453363,34.003727,2013,8
10405404,-10.6082000732422,34.1108016967773,2011,3
10407068,-11.0241003036499,34.0392990112305,2011,1
10407194,-10.9601001739502,34.0000991821289,2010,7
10407628,-10.9278001785278,34.0750007629395,2011,1
10408441,-10.8036003112793,33.5424995422363,2010,4
10409468,-10.8626003265381,33.5009002685547,2010,10
10420001,-11.0222997665405,33.8824996948242,2010,9
10420035,-11.0195999145508,33.8438987731934,2010,5
10420080,-11.0249996185303,33.8452987670898,2011,2
10501055,-11.941499710083,33.4580993652344,2011,2
10501216,-11.8392000198364,33.3823013305664,2010,11
10501505,-12.211199760437,33.3270988464355,2010,9
10501505,-12.2112,33.3271,2013,5
10501505,-11.372857,33.829686,2013,6
10501505,-12.2112,33.3271,2013,7
10501505,-11.569623,33.553159,2013,6
10501709,-11.9792003631592,33.4991989135742,2010,4
10501709,-11.9792003631592,33.4991989135742,2010,5
10501709,-11.931914,33.506311,2013,6
10501709,-11.9792,33.4992,2013,6
10501709,-11.9792,33.4992,2013,5
10502043,-11.0909004211426,33.8821983337402,2010,12
10502268,-11.2849998474121,33.7784996032715,2010,6
10502268,-11.285,33.7785,2013,6
10502268,-11.68221,33.735172,2013,10
10502439,-11.5345001220703,33.6711006164551,2010,10
10502593,-11.3927001953125,33.6487998962402,2010,10
10502593,-11.3927,33.6488,2013,6
10502593,-11.910269,34.054166,2013,10
10502730,-11.1663999557495,33.780101776123,2011,3
10503211,-11.455400466919,33.7661018371582,2011,1
10503367,-11.870400428772,33.6791000366211,2010,3
10503367,-11.8704,33.6791,2013,4
10503367,-11.89259,33.648686,2013,4
10503367,-11.93973,33.634287,2013,5
10503367,-11.442662,33.981837,2013,6
10503367,-11.76853,33.668861,2013,4
10503367,-11.949769,33.580546,2013,4
10505136,-11.7313003540039,33.5341987609863,2010,5
10505136,-11.7313,33.5342,2013,6
10505136,-11.638044,34.274791,2013,7
10505151,-11.5846004486084,33.4720001220703,2011,2
10505231,-11.4441995620728,33.4104995727539,2010,11
10505310,-11.3125,33.4799003601074,2010,7
10505310,-11.3125,33.4799,2013,5
10505508,-11.7819004058838,33.5,2010,9
10505508,-11.7819,33.5,2013,6
10506127,-12.3555002212524,33.5508995056152,2011,3
10506548,-12.2002000808716,33.6539001464844,2010,11
10507175,-12.6591997146606,33.6304016113281,2010,10
10507175,-12.6592,33.6304,2013,7
10507175,-12.818767,33.64211,2013,8
10507175,-12.565321,33.713936,2013,7
10507175,-12.732695,33.656655,2013,7
10507344,-12.5305995941162,33.6026992797852,2010,7
10507344,-12.5306,33.6027,2013,7
10507344,-12.571618,33.47354,2013,11
10507344,-14.047196,33.339921,2013,9
10507344,-14.265127,34.423639,2013,10
10507344,-12.56589,33.511748,2013,8
10507344,-12.50051,33.62089,2013,7
10508369,-12.4919004440308,33.8322982788086,2010,10
10509319,-11.3432998657227,33.6194000244141,2010,3
10509319,-11.3433,33.6194,2013,4
10509319,-11.472121,34.021166,2013,6
10509319,-11.22598,33.888997,2013,5
10509474,-11.1618003845215,33.5984992980957,2011,1
10510388,-12.2419004440308,33.4715995788574,2010,7
10510388,-12.2419,33.4716,2013,5
10510388,-12.308132,33.562445,2013,7
10510388,-13.958295,33.819975,2013,6
10732047,-11.4061002731323,34.0105018615723,2011,1
10732070,-11.3894996643066,33.9794998168945,2010,9
10732192,-11.407600402832,33.9948997497559,2010,5
10732192,-11.4076,33.9949,2013,5
10732192,-10.3457009329,33.6856343249,2013,10
10732192,-11.895031,33.586788,2013,6
10732192,-11.4076,33.9949,2013,9
10732192,-13.962669,33.733803,2013,7
10732192,-13.767854,33.79593,2013,10
10732192,-11.4076,33.9949,2013,6
10732192,-11.349174,33.888682,2013,6
10733465,-11.4385004043579,34.0265998840332,2010,12
10733640,-11.4398002624512,34.0331001281738,2010,9
10733640,-11.4398,34.0331,2013,6
10733640,-11.949952,34.118023,2013,7
10733640,-13.95682,33.80948,2013,11
10733640,-15.393901,35.358411,2013,8
10733640,-14.002585,33.757231,2013,7
10733640,-14.0063887102,33.8258828387,2013,8
10733640,-11.412552,33.999917,2013,6
10733640,-11.399111,33.98785,2013,6
10733640,-15.503328,35.24788,2013,7
10733640,-13.853051,33.505175,2013,10
10733640,-14.502915,34.453509,2013,10
10733640,-15.812064,35.040732,2013,7
10733640,-13.873284,33.766807,2013,11
10734370,-11.4329996109009,34.0234985351562,2010,10
10734370,-11.433,34.0235,2013,7
10734370,-13.025148,33.515565,2013,10
10734370,-11.554856,34.222821,2013,9
10734370,-11.433,34.0235,2013,8
10734370,-16.103328,34.514921,2013,9
10734370,-9.955414,33.940836,2013,8
10734393,-11.440899848938,34.0103988647461,2011,3
10734407,-11.4597997665405,34.0182991027832,2010,10
10734762,-11.4274997711182,34.0279998779297,2010,7
10734762,-11.4275,34.028,2013,7
10734762,-11.4275,34.028,2013,8
10734762,-14.005413,33.838202,2013,11
10734762,-11.4275,34.028,2013,10
10735130,-11.4368000030518,34.0087013244629,2011,1
10735173,-11.4668998718262,34.0078010559082,2010,4
10735173,-11.4669,34.0078,2013,9
10735173,-11.4669,34.0078,2013,5
10735173,-11.421743,33.898372,2013,6
10735173,-11.229635,33.857466,2013,5
10735173,-11.551744,34.194054,2013,7
10735173,-11.534314,34.185254,2013,8
10735173,-9.663556,33.240057,2013,5
10735173,-11.4669,34.0078,2013,6
10735173,-9.84429,33.837671,2013,6
10736053,-11.4344997406006,34.0078010559082,2011,2
10736174,-11.4630002975464,34.002799987793,2010,11
10736377,-11.4364995956421,34.0029983520508,2010,4
10736466,-11.4471998214722,34.0018005371094,2010,11
10736596,-11.4555997848511,33.9884986877441,2010,8
10736596,-11.4556,33.9885,2013,5
10736596,-11.4556,33.9885,2013,8
10736596,-11.832859,33.67826,2013,7
10736596,-12.618467,34.172004,2013,7
10736596,-13.361084,33.581789,2013,7
10736596,-13.501476,33.867774,2013,7
10736596,-12.61559,34.159081,2013,7
10736596,-13.056942,33.492648,2013,9
10736596,-12.943309,34.284473,2013,7
10737199,-11.4821996688843,34.0013008117676,2010,12
